Lcore 0,,,,Lcore 1,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
1982228,1982228,0,,1982224,1982256,0,,3964452,3964484,0,761180928,761174016,0,0,0,0,
1982115,1982115,0,,1982224,1982224,0,,3964339,3964339,0,761153088,761154240,0,0,0,0,
1982361,1982361,0,,1982272,1982272,0,,3964633,3964633,0,761203392,761205504,0,0,0,0,
1982275,1982275,0,,1982316,1982316,0,,3964591,3964591,0,761201472,761203008,0,0,0,0,
1982164,1982164,0,,1982187,1982187,0,,3964351,3964351,0,761155392,761159424,0,0,0,0,
1982416,1982416,0,,1982337,1982337,0,,3964753,3964753,0,761232576,761227200,0,0,0,0,
1982286,1982286,0,,1982320,1982320,0,,3964606,3964606,0,761204352,761201664,0,0,0,0,
1982004,1982004,0,,1982048,1982048,0,,3964052,3964052,0,761097984,761100096,0,0,0,0,
1982391,1982391,0,,1982384,1982352,0,,3964775,3964743,0,761236800,761238336,0,0,0,0,
1981773,1981773,0,,1982054,1982086,0,,3963827,3963859,0,761060928,761058048,0,0,0,0,
1982946,1982946,0,,1982594,1982594,0,,3965540,3965540,0,761377536,761378112,0,0,0,0,
685168,685168,0,,685168,685136,0,,1370336,1370304,0,263104512,263094720,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
1796185,1796185,0,,1805133,1805165,0,,3601318,3601350,0,691453056,691459200,76715,0,0,0,
1983201,1983201,0,,1996351,1996351,0,,3979552,3979552,0,764073984,764079168,106584,0,0,0,
1981844,1981844,0,,1993740,1993740,0,,3975584,3975584,0,763318272,763308480,110931,0,0,0,
1982159,1982159,0,,1994040,1994008,0,,3976199,3976167,0,763424064,763428480,110470,0,0,0,
1987764,1987764,0,,1997844,1997876,0,,3985608,3985640,0,765242880,765243840,100855,0,0,0,
1978528,1978528,0,,1990730,1990730,0,,3969258,3969258,0,762091392,762097152,117282,0,0,0,
1979276,1979276,0,,1989294,1989294,0,,3968570,3968570,0,761965440,761975808,117962,0,0,0,
