Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Lcore 3,,,,Lcore 4,,,,Lcore 5,,,,Lcore 6,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
4310086,4310086,0,,3937270,3937267,0,,4915155,4915150,0,,4061815,4061815,0,,4169387,4169419,0,,4125830,4125861,0,,4458409,4458381,0,,29977952,29977979,0,5755768128,5755771968,100481,0,0,0,
4311325,4311325,0,,3937225,3937222,0,,4912545,4912575,0,,4061291,4061297,0,,4170783,4170781,0,,4124850,4124825,0,,4458553,4458580,0,,29976572,29976605,0,5755508544,5755515264,101425,0,0,0,
4310570,4310570,0,,3937533,3937556,0,,4916295,4916296,0,,4060298,4060300,0,,4170287,4170289,0,,4124992,4124986,0,,4458401,4458384,0,,29978376,29978381,0,5755846080,5755844736,100054,0,0,0,
4311633,4311633,0,,3938280,3938266,0,,4912873,4912873,0,,4062477,4062481,0,,4170266,4170236,0,,4124800,4124800,0,,4458021,4458034,0,,29978350,29978323,0,5755839936,5755841472,100082,0,0,0,
4311676,4311676,0,,3936495,3936487,0,,4915188,4915187,0,,4061439,4061427,0,,4169889,4169919,0,,4125481,4125485,0,,4457668,4457641,0,,29977836,29977822,0,5755746624,5755743168,101088,0,0,0,
4311118,4311118,0,,3937164,3937166,0,,4912257,4912226,0,,4060661,4060661,0,,4170868,4170867,0,,4125647,4125643,0,,4457343,4457348,0,,29975058,29975029,0,5755215744,5755205760,103513,0,0,0,
4311259,4311259,0,,3937156,3937153,0,,4914139,4914139,0,,4061819,4061819,0,,4170907,4170908,0,,4125681,4125682,0,,4458244,4458271,0,,29979205,29979231,0,5755996416,5756005248,101195,0,0,0,
4310282,4310282,0,,3936879,3936879,0,,4914524,4914524,0,,4061557,4061574,0,,4168725,4168722,0,,4126292,4126291,0,,4458242,4458242,0,,29976501,29976514,0,5755497216,5755491264,101597,0,0,0,
4310486,4310486,0,,3937062,3937066,0,,4909750,4909782,0,,4063248,4063263,0,,4168853,4168824,0,,4124779,4124779,0,,4457768,4457768,0,,29971946,29971968,0,5754617664,5754623808,105194,0,0,0,
4310731,4310731,0,,3937174,3937180,0,,4913707,4913707,0,,4064193,4064161,0,,4169252,4169252,0,,4125758,4125758,0,,4458923,4458923,0,,29979738,29979712,0,5756104320,5756104896,101785,0,0,0,
4310602,4310602,0,,3937969,3937966,0,,4913161,4913161,0,,4063690,4063697,0,,4167175,4167181,0,,4125988,4126020,0,,4457549,4457549,0,,29976134,29976176,0,5755426176,5755428288,102344,0,0,0,
4310215,4310215,0,,3938985,3938978,0,,4914177,4914177,0,,4060658,4060661,0,,4168461,4168487,0,,4126515,4126502,0,,4458156,4458156,0,,29977167,29977176,0,5755610880,5755608960,101724,0,0,0,
4310706,4310706,0,,3939122,3939132,0,,4912564,4912564,0,,4061045,4061040,0,,4168102,4168070,0,,4126033,4126014,0,,4457523,4457495,0,,29975095,29975021,0,5755211904,5755207872,104034,0,0,0,
4309526,4309526,0,,3937587,3937589,0,,4916724,4916724,0,,4061053,4061058,0,,4169421,4169421,0,,4126078,4126078,0,,4456734,4456762,0,,29977123,29977158,0,5755607040,5755611072,100203,0,0,0,
4310588,4310588,0,,3938409,3938401,0,,4913255,4913229,0,,4061848,4061838,0,,4168827,4168832,0,,4126128,4126128,0,,4457973,4457941,0,,29977028,29976957,0,5755587456,5755574976,102323,0,0,0,
4309947,4309947,0,,3938679,3938689,0,,4913199,4913193,0,,4063288,4063303,0,,4169164,4169159,0,,4125985,4126014,0,,4456762,4456762,0,,29977024,29977067,0,5755591872,5755595520,101260,0,0,0,
