Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Lcore 3,,,,Lcore 4,,,,Lcore 5,,,,Lcore 6,,,,Lcore 7,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
3452689,3790250,337561,,3419881,3425019,5126,,3452265,3749905,297670,,3469016,3723013,253997,,3445010,3665734,220726,,3433088,3567183,134097,,3453371,3544525,91157,,3457669,3964808,507139,,27582989,29430437,1847473,5295928896,5650643136,694801,0,0,0,
3453258,3789529,336271,,3419890,3424749,4847,,3453583,3749711,296127,,3470838,3724615,253773,,3445686,3666407,220718,,3433897,3571964,138065,,3454168,3545000,90802,,3458651,3965107,506457,,27589971,29437082,1847060,5297278464,5651917824,687980,0,0,0,
3451528,3792077,340549,,3419578,3425157,5611,,3451543,3749872,298331,,3467419,3723012,255589,,3444619,3666101,221482,,3428441,3556447,128034,,3452552,3544447,91921,,3457121,3962683,505564,,27572801,29419796,1847081,5293976832,5648597760,705899,0,0,0,
3453085,3789509,336424,,3420405,3425833,5396,,3451347,3749692,298342,,3468963,3723587,254617,,3445493,3665464,219971,,3433475,3571545,138064,,3453344,3544325,90986,,3459014,3966193,507176,,27585126,29436148,1850976,5296352256,5651743680,687987,0,0,0,
3452956,3789380,336424,,3419776,3425338,5594,,3451480,3749682,298205,,3468512,3725477,256950,,3444431,3664869,220463,,3434599,3551784,117184,,3453406,3544824,91386,,3458377,3957212,498837,,27583537,29408566,1825043,5296031040,5646447168,717235,0,0,0,
3451739,3789503,337764,,3418769,3424325,5555,,3452053,3750765,298683,,3468424,3722262,253866,,3443660,3664583,220930,,3429792,3539526,109732,,3453218,3544882,91685,,3457747,3957552,499805,,27575402,29393398,1818020,5294477184,5643526848,731513,0,0,0,
3452644,3790238,337594,,3419612,3425028,5385,,3451854,3749589,297764,,3468848,3722110,253264,,3445033,3665053,219991,,3433024,3564300,131289,,3453398,3543970,90577,,3458878,3963229,504349,,27583291,29423517,1840213,5295991680,5649318336,700974,0,0,0,
3452570,3789975,337405,,3420483,3425510,5030,,3452522,3750131,297578,,3469936,3723328,253389,,3446682,3665453,218768,,3434196,3569629,135429,,3453767,3544607,90845,,3459630,3965075,505445,,27589786,29433708,1843889,5297235456,5651268672,690371,0,0,0,
3453200,3789866,336666,,3419396,3424687,5288,,3452548,3750164,297616,,3469183,3723748,254567,,3445656,3664838,219183,,3433277,3569178,135876,,3454423,3544827,90375,,3458206,3966961,508755,,27585889,29434269,1848326,5296500480,5651382912,689111,0,0,0,
3453081,3792428,339347,,3420061,3425035,5005,,3452640,3749919,297278,,3469861,3724680,254820,,3445874,3665756,219881,,3433770,3567642,133901,,3455180,3545217,90035,,3458580,3962657,504077,,27589047,29433334,1844344,5297087616,5651199936,691192,0,0,0,
3452613,3790406,337793,,3420260,3425294,5031,,3452003,3750711,298708,,3469554,3724134,254548,,3446415,3665722,219307,,3434913,3564616,129703,,3453541,3544221,90712,,3459090,3965022,505934,,27588389,29430126,1841736,5296968384,5650586688,694934,0,0,0,
3453416,3791635,338219,,3421089,3425935,4818,,3452456,3750728,298290,,3468699,3724795,256097,,3445893,3665857,219966,,3432917,3574992,142075,,3454045,3545051,90974,,3458040,3967630,509588,,27586555,29446623,1860027,5296620480,5653746240,678468,0,0,0,
3452846,3791077,338231,,3421016,3425760,4773,,3453494,3750508,297028,,3470695,3724234,253541,,3446675,3666077,219432,,3434734,3566598,131864,,3454269,3544495,90226,,3459691,3966376,506686,,27593420,29435125,1841781,5297940864,5651544384,689403,0,0,0,
