Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Lcore 3,,,,Lcore 4,,,,Lcore 5,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
3912042,3912042,0,,3946341,3946330,0,,3773517,3773511,0,,3759766,3759776,0,,3454499,3454517,0,,3746244,3746247,0,,22592409,22592423,0,4337745600,4337739648,1512,0,0,0,
3916045,3916045,0,,3942454,3942451,0,,3769669,3769680,0,,3763620,3763617,0,,3448990,3448962,0,,3751592,3751614,0,,22592370,22592369,0,4337727936,4337732736,1621,0,0,0,
3908778,3908778,0,,3947325,3947337,0,,3774788,3774777,0,,3761999,3761994,0,,3454770,3454771,0,,3744777,3744766,0,,22592437,22592423,0,4337750400,4337753664,1490,0,0,0,
3915909,3915909,0,,3942401,3942400,0,,3768561,3768571,0,,3761987,3761991,0,,3450463,3450462,0,,3752295,3752313,0,,22591616,22591646,0,4337588544,4337588352,1806,0,0,0,
3910597,3910597,0,,3946343,3946332,0,,3774113,3774113,0,,3764600,3764594,0,,3452143,3452143,0,,3744893,3744861,0,,22592689,22592640,0,4337793024,4337785728,1780,0,0,0,
3913009,3913009,0,,3943894,3943926,0,,3770638,3770628,0,,3758908,3758908,0,,3452601,3452602,0,,3751544,3751549,0,,22590594,22590622,0,4337393280,4337402496,2472,0,0,0,
3913199,3913199,0,,3945715,3945683,0,,3771524,3771526,0,,3765553,3765555,0,,3451598,3451599,0,,3745664,3745663,0,,22593253,22593225,0,4337905728,4337899584,1612,0,0,0,
3912392,3912392,0,,3944717,3944730,0,,3773671,3773684,0,,3757331,3757329,0,,3453343,3453341,0,,3750419,3750415,0,,22591873,22591891,0,4337642688,4337639232,2042,0,0,0,
3913295,3913295,0,,3944015,3944002,0,,3769375,3769367,0,,3768242,3768242,0,,3450164,3450174,0,,3747635,3747635,0,,22592726,22592715,0,4337803776,4337803584,1246,0,0,0,
3913352,3913352,0,,3945991,3945995,0,,3773608,3773602,0,,3756698,3756702,0,,3453426,3453416,0,,3748463,3748478,0,,22591538,22591545,0,4337573184,4337578368,2577,0,0,0,
3912286,3912286,0,,3942332,3942329,0,,3770168,3770168,0,,3766154,3766151,0,,3450420,3450448,0,,3749492,3749481,0,,22590852,22590863,0,4337441472,4337445120,2839,0,0,0,
3911801,3911801,0,,3946330,3946329,0,,3773641,3773640,0,,3759544,3759557,0,,3454260,3454232,0,,3746048,3746044,0,,22591624,22591603,0,4337592960,4337584128,2332,0,0,0,
3914451,3914451,0,,3942150,3942150,0,,3769516,3769517,0,,3763859,3763845,0,,3449161,3449161,0,,3751639,3751661,0,,22590776,22590785,0,4337432064,4337433024,3192,0,0,0,
3908844,3908844,0,,3946966,3946966,0,,3774583,3774597,0,,3761704,3761709,0,,3454888,3454902,0,,3745043,3745029,0,,22592028,22592047,0,4337670912,4337672640,1883,0,0,0,
3915979,3915979,0,,3942232,3942235,0,,3768782,3768767,0,,3762096,3762091,0,,3450044,3450030,0,,3752438,3752462,0,,22591571,22591564,0,4337574912,4337590464,1529,0,0,0,
3910309,3910309,0,,3946678,3946675,0,,3774236,3774239,0,,3764489,3764489,0,,3452350,3452354,0,,3745136,3745104,0,,22593198,22593170,0,4337894976,4337877120,1554,0,0,0,
3913624,3913624,0,,3944026,3944052,0,,3770570,3770567,0,,3759369,3759369,0,,3452867,3452863,0,,3752127,3752131,0,,22592583,22592606,0,4337786304,4337792256,1263,0,0,0,
3912856,3912856,0,,3946133,3946122,0,,3771651,3771655,0,,3765133,3765143,0,,3451530,3451530,0,,3745168,3745164,0,,22592471,22592470,0,4337748096,4337741760,1556,0,0,0,
3912585,3912585,0,,3944857,3944868,0,,3773522,3773523,0,,3757482,3757475,0,,3453144,3453144,0,,3750850,3750867,0,,22592440,22592462,0,4337752704,4337765568,1481,0,0,0,
3912963,3912963,0,,3944163,3944137,0,,3769442,3769440,0,,3768142,3768149,0,,3450262,3450275,0,,3747457,3747472,0,,22592429,22592436,0,4337743296,4337736960,1461,0,0,0,
