Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Lcore 3,,,,Lcore 4,,,,Lcore 5,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
312332,312332,0,,312313,312332,0,,312223,312242,0,,312222,312241,0,,312222,312242,0,,312222,312242,0,,1873534,1873631,0,359718528,359737152,0,0,0,0,
312339,312339,0,,312344,312345,0,,312255,312256,0,,312256,312257,0,,312275,312255,0,,312261,312255,0,,1873730,1873707,0,359762688,359751744,0,0,0,0,
312338,312338,0,,312332,312332,0,,312262,312242,0,,312262,312242,0,,312242,312242,0,,312236,312242,0,,1873672,1873638,0,359746176,359738496,0,0,0,0,
312324,312324,0,,312332,312324,0,,312222,312242,0,,312222,312242,0,,312223,312234,0,,312246,312242,0,,1873569,1873608,0,359719872,359734272,0,0,0,0,
312352,312352,0,,312345,312353,0,,312275,312255,0,,312274,312255,0,,312255,312264,0,,312272,312256,0,,1873773,1873735,0,359769984,359755584,0,0,0,0,
312333,312333,0,,312352,312332,0,,312242,312242,0,,312243,312242,0,,312262,312242,0,,312242,312242,0,,1873674,1873633,0,359737536,359737536,0,0,0,0,
312344,312344,0,,312324,312344,0,,312237,312256,0,,312236,312256,0,,312236,312256,0,,312236,312256,0,,1873613,1873712,0,359741184,359752704,0,0,0,0,
312328,312328,0,,312352,312332,0,,312241,312242,0,,312242,312238,0,,312242,312242,0,,312242,312242,0,,1873647,1873624,0,359732736,359735808,0,0,0,0,
312334,312334,0,,312332,312332,0,,312262,312242,0,,312243,312246,0,,312262,312242,0,,312262,312242,0,,1873695,1873638,0,359753088,359738496,0,0,0,0,
312345,312345,0,,312345,312345,0,,312236,312256,0,,312255,312256,0,,312255,312255,0,,312255,312255,0,,1873691,1873712,0,359752704,359752704,0,0,0,0,
312334,312334,0,,312332,312332,0,,312262,312242,0,,312242,312242,0,,312242,312242,0,,312242,312242,0,,1873654,1873634,0,359737728,359737728,0,0,0,0,
312345,312345,0,,312345,312345,0,,312255,312255,0,,312275,312255,0,,312256,312256,0,,312256,312256,0,,1873732,1873712,0,359752704,359752704,0,0,0,0,
312332,312332,0,,312312,312332,0,,312223,312242,0,,312223,312242,0,,312239,312242,0,,312222,312239,0,,1873551,1873629,0,359725440,359736768,0,0,0,0,
312328,312328,0,,312334,312332,0,,312244,312242,0,,312241,312238,0,,312225,312238,0,,312247,312245,0,,1873619,1873623,0,359734272,359736384,0,0,0,0,
312348,312348,0,,312362,312344,0,,312273,312256,0,,312276,312260,0,,312276,312260,0,,312271,312256,0,,1873806,1873724,0,359767680,359754240,0,0,0,0,
312326,312326,0,,312313,312332,0,,312223,312242,0,,312222,312235,0,,312222,312242,0,,312222,312242,0,,1873528,1873619,0,359717376,359734848,0,0,0,0,
312351,312351,0,,312345,312345,0,,312255,312256,0,,312256,312263,0,,312256,312255,0,,312270,312255,0,,1873733,1873725,0,359757696,359755200,0,0,0,0,
312332,312332,0,,312342,312332,0,,312242,312242,0,,312242,312242,0,,312261,312242,0,,312247,312242,0,,1873666,1873632,0,359752320,359737344,0,0,0,0,
312332,312332,0,,312321,312332,0,,312242,312242,0,,312242,312242,0,,312223,312242,0,,312236,312242,0,,1873596,1873632,0,359721024,359737344,0,0,0,0,
312345,312345,0,,312365,312345,0,,312275,312255,0,,312275,312255,0,,312275,312256,0,,312262,312256,0,,1873797,1873712,0,359769024,359752704,0,0,0,0,
60350,60350,0,,60350,60350,0,,60333,60333,0,,60333,60333,0,,60333,60333,0,,60333,60333,0,,362032,362032,0,69510144,69510144,0,0,0,0,
26951,26951,0,,26054,26086,0,,26228,26260,0,,22484,22516,0,,25073,25103,0,,26373,26403,0,,153163,153319,0,29407296,29439744,4024,0,0,0,
370284,370284,0,,361961,361961,0,,358541,358539,0,,311130,311130,0,,345948,345950,0,,362952,362954,0,,2110816,2110818,0,405282816,405284160,686230,0,0,0,
370512,370512,0,,361268,361268,0,,358127,358129,0,,310919,310919,0,,346318,346318,0,,363673,363671,0,,2110817,2110817,0,405270720,405272064,688586,0,0,0,
370185,370185,0,,361022,361022,0,,359280,359278,0,,310559,310558,0,,345794,345794,0,,363723,363725,0,,2110563,2110562,0,405228096,405223296,688972,0,0,0,
370075,370075,0,,361425,361422,0,,359051,359053,0,,310381,310382,0,,346384,346382,0,,362912,362912,0,,2110228,2110226,0,405163776,405166272,689328,0,0,0,
370336,370336,0,,361431,361434,0,,358985,358982,0,,311083,311083,0,,345804,345805,0,,363579,363579,0,,2111218,2111219,0,405353856,405355392,688230,0,0,0,
370575,370575,0,,361531,361529,0,,359264,359264,0,,311063,311061,0,,346702,346702,0,,363466,363466,0,,2112601,2112597,0,405619392,405615936,686852,0,0,0,
370608,370608,0,,361260,361262,0,,359401,359404,0,,311200,311202,0,,346887,346888,0,,363639,363639,0,,2112995,2113003,0,405695040,405699840,686536,0,0,0,
371040,371040,0,,362071,362071,0,,358548,358547,0,,311381,311380,0,,345548,345548,0,,363616,363614,0,,2112204,2112200,0,405543168,405541056,687396,0,0,0,
370183,370183,0,,362160,362160,0,,358518,358519,0,,311171,311169,0,,345563,345563,0,,363532,363534,0,,2111127,2111128,0,405336384,405340608,688353,0,0,0,
370357,370357,0,,361973,361973,0,,358423,358423,0,,311119,311122,0,,346621,346618,0,,363825,363825,0,,2112318,2112318,0,405565056,405560832,687216,0,0,0,
370477,370477,0,,361259,361259,0,,358815,358814,0,,310493,310493,0,,346599,346602,0,,363666,363665,0,,2111309,2111310,0,405377472,405375744,688074,0,0,0,
369654,369654,0,,361729,361726,0,,358469,358470,0,,311645,311643,0,,346879,346878,0,,363478,363479,0,,2111854,2111850,0,405469824,405469824,687787,0,0,0,
370436,370436,0,,362367,362370,0,,358594,358594,0,,310494,310493,0,,346468,346469,0,,363611,363611,0,,2111970,2111973,0,405504384,405507264,687598,0,0,0,
370402,370402,0,,362182,362182,0,,359270,359268,0,,311114,311117,0,,346459,346456,0,,363170,363170,0,,2112597,2112595,0,405612480,405611520,687014,0,0,0,
370108,370108,0,,361632,361632,0,,358642,358644,0,,310996,310996,0,,346132,346135,0,,364222,364221,0,,2111732,2111736,0,405452544,405458304,687697,0,0,0,
370125,370125,0,,361475,361475,0,,358408,358408,0,,310224,310224,0,,345537,345535,0,,362985,362986,0,,2108754,2108753,0,404880768,404877120,690711,0,0,0,
