Lcore 0,,,,Lcore 1,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
12706038,12706038,0,,12519570,12519570,0,,25225608,25225608,0,4288353360,4843318464,191130,0,0,0,
12707357,12707357,0,,12523982,12523982,0,,25231339,25231339,0,4289333070,4844421312,186938,0,0,0,
12708060,12708060,0,,12523832,12523830,0,,25231892,25231890,0,4289416200,4844518464,186613,0,0,0,
12708140,12708140,0,,12524492,12524494,0,,25232632,25232634,0,4289547440,4844664768,185242,0,0,0,
12707286,12707286,0,,12525701,12525701,0,,25232987,25232987,0,4289607790,4844733120,184278,0,0,0,
12706767,12706767,0,,12517922,12517920,0,,25224689,25224687,0,4288197130,4843139712,192562,0,0,0,
12706174,12706174,0,,12519752,12519754,0,,25225926,25225928,0,4288412860,4843382784,191016,0,0,0,
12708357,12708357,0,,12520591,12520591,0,,25228948,25228948,0,4288915720,4843953408,190174,0,0,0,
12706038,12706038,0,,12520866,12520866,0,,25226904,25226904,0,4288579120,4843566336,190127,0,0,0,
12706895,12706895,0,,12523118,12523117,0,,25230013,25230012,0,4289102040,4844167296,187952,0,0,0,
12706226,12706226,0,,12519713,12519714,0,,25225939,25225940,0,4288409800,4843378368,191072,0,0,0,
12707390,12707390,0,,12526262,12526262,0,,25233652,25233652,0,4289715400,4844857536,183993,0,0,0,
12706970,12706970,0,,12526048,12526045,0,,25233018,25233015,0,4289617990,4844744256,185407,0,0,0,
12707405,12707405,0,,12525236,12525237,0,,25232641,25232642,0,4289549140,4844671296,185298,0,0,0,
12707061,12707061,0,,12519895,12519865,0,,25226956,25226926,0,4288577420,4843567296,190432,0,0,0,
12707431,12707431,0,,12516388,12516420,0,,25223819,25223851,0,4288049230,4842974592,194838,0,0,0,
12706352,12706352,0,,12524249,12524246,0,,25230601,25230598,0,4289207100,4844278272,186456,0,0,0,
7591285,7591285,0,,7481520,7481491,0,,15072805,15072776,0,2562371920,2893967424,113923,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
8367291,8367291,0,,8223612,8223642,0,,16590903,16590933,0,2820453510,3185459136,308546,0,0,0,
12712753,12712753,0,,12495126,12495126,0,,25207879,25207879,0,4285339430,4839913152,483339,0,0,0,
12712645,12712645,0,,12493188,12493190,0,,25205833,25205835,0,4284997050,4839525504,485090,0,0,0,
12709865,12709865,0,,12494093,12494093,0,,25203958,25203958,0,4284672860,4839160320,487120,0,0,0,
12714518,12714518,0,,12496013,12495981,0,,25210531,25210499,0,4285784830,4840416000,479296,0,0,0,
12712575,12712575,0,,12491747,12491779,0,,25204322,25204354,0,4284740180,4839229824,485165,0,0,0,
12714019,12714019,0,,12496465,12496465,0,,25210484,25210484,0,4285776840,4840412928,480951,0,0,0,
12712045,12712045,0,,12492867,12492835,0,,25204912,25204880,0,4284835040,4839346176,486610,0,0,0,
12710613,12710613,0,,12491324,12491324,0,,25201937,25201937,0,4284329290,4838771520,489018,0,0,0,
12713607,12713607,0,,12492101,12492101,0,,25205708,25205708,0,4284970360,4839493056,485417,0,0,0,
12710712,12710712,0,,12487488,12487488,0,,25198200,25198200,0,4283694000,4838054784,492668,0,0,0,
12708972,12708972,0,,12488354,12488384,0,,25197326,25197356,0,4283550520,4837888704,493618,0,0,0,
12710311,12710311,0,,12493904,12493906,0,,25204215,25204217,0,4284716890,4839209280,487009,0,0,0,
12709640,12709640,0,,12495269,12495267,0,,25204909,25204907,0,4284829090,4839339840,486573,0,0,0,
12712889,12712889,0,,12493090,12493060,0,,25205979,25205949,0,4285016430,4839548352,484886,0,0,0,
12710382,12710382,0,,12488195,12488226,0,,25198577,25198608,0,4283758090,4838126592,492218,0,0,0,
12714566,12714566,0,,12489274,12489275,0,,25203840,25203841,0,4284652800,4839137472,487451,0,0,0,
12714898,12714898,0,,12490622,12490620,0,,25205520,25205518,0,4284943500,4839462720,484238,0,0,0,
12712485,12712485,0,,12489280,12489282,0,,25201765,25201767,0,4284294950,4838737920,488690,0,0,0,
12715037,12715037,0,,12491207,12491207,0,,25206244,25206244,0,4285061480,4839598464,483198,0,0,0,
12716050,12716050,0,,12492069,12492069,0,,25208119,25208119,0,4285380230,4839957696,481350,0,0,0,
12715287,12715287,0,,12490864,12490864,0,,25206151,25206151,0,4285051110,4839582912,483879,0,0,0,
12714343,12714343,0,,12487355,12487355,0,,25201698,25201698,0,4284288660,4838724672,488552,0,0,0,
12640141,12640141,0,,12415874,12415842,0,,25056015,25055983,0,4259517110,4810747776,484781,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
3330637,3330637,0,,3270711,3270743,0,,6601348,6601380,0,1122229160,1267464960,190522,0,0,0,
12708079,12708079,0,,12478540,12478539,0,,25186619,25186618,0,4281725230,4835834304,782948,0,0,0,
12708927,12708927,0,,12477384,12477385,0,,25186311,25186312,0,4281678310,4835769408,783478,0,0,0,
12708096,12708096,0,,12480992,12480992,0,,25189088,25189088,0,4282139520,4836303744,780625,0,0,0,
12706528,12706528,0,,12480807,12480775,0,,25187335,25187303,0,4281846950,4835967936,782847,0,0,0,
12709366,12709366,0,,12474868,12474900,0,,25184234,25184266,0,4281319780,4835373312,786036,0,0,0,
12706664,12706664,0,,12477165,12477163,0,,25183829,25183827,0,4281250930,4835294784,786112,0,0,0,
12707830,12707830,0,,12476175,12476177,0,,25184005,25184007,0,4281286290,4835330880,786031,0,0,0,
12706931,12706931,0,,12476914,12476882,0,,25183845,25183813,0,4281248210,4835298816,785714,0,0,0,
