Lcore 0,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
10706712,10706712,0,,10706712,10706712,0,2055688704,2055696384,462135,0,0,0,
10707260,10707260,0,,10707260,10707260,0,2055793920,2055785472,461493,0,0,0,
10709864,10709864,0,,10709864,10709864,0,2056293888,2056292352,458882,0,0,0,
10705320,10705320,0,,10705320,10705320,0,2055421440,2055424704,463630,0,0,0,
10704726,10704726,0,,10704726,10704726,0,2055307392,2055304512,464199,0,0,0,
10707508,10707508,0,,10707508,10707508,0,2055841536,2055842304,461501,0,0,0,
10707974,10707974,0,,10707974,10707974,0,2055931008,2055929856,460827,0,0,0,
10698660,10698660,0,,10698660,10698660,0,2054142720,2054143488,470141,0,0,0,
10703892,10703892,0,,10703892,10703892,0,2055147264,2055148032,464982,0,0,0,
10707472,10707472,0,,10707472,10707472,0,2055834624,2055833088,461423,0,0,0,
10711796,10711796,0,,10711796,10711796,0,2056664832,2056670592,457187,0,0,0,
10708304,10708304,0,,10708304,10708304,0,2055994368,2055990912,460656,0,0,0,
10700852,10700852,0,,10700852,10700852,0,2054563584,2054561280,468016,0,0,0,
10696612,10696612,0,,10696612,10696612,0,2053749504,2053749504,471960,0,0,0,
10707471,10707471,0,,10707471,10707471,0,2055834432,2055834624,461332,0,0,0,
2048893,2048893,0,,2048893,2048893,0,393387456,393387264,89596,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
