Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Lcore 3,,,,Lcore 4,,,,Lcore 5,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
847634,847634,0,,3004406,3004436,0,,712372,712372,0,,2349339,2349339,0,,14726697,14726665,0,,965386,965386,0,,22605834,22605832,0,4340326272,4340324544,1774562,0,0,0,
847541,847541,0,,3004412,3004380,0,,712354,712354,0,,2349139,2349153,0,,14731195,14731227,0,,965361,965361,0,,22610002,22610016,0,4341119040,4341119232,1769565,0,0,0,
847510,847510,0,,3004196,3004196,0,,712333,712333,0,,2349216,2349202,0,,14745262,14745262,0,,965325,965325,0,,22623842,22623828,0,4343772672,4343777280,1756688,0,0,0,
847625,847625,0,,3004623,3004627,0,,712372,712372,0,,2349361,2349363,0,,14735916,14735916,0,,965350,965350,0,,22615247,22615253,0,4342128384,4342125696,1765765,0,0,0,
847599,847599,0,,3004626,3004622,0,,712397,712399,0,,2349302,2349318,0,,14732597,14732597,0,,965324,965330,0,,22611845,22611865,0,4341490944,4341483264,1769466,0,0,0,
847597,847597,0,,3004457,3004478,0,,712294,712292,0,,2349195,2349179,0,,14743916,14743916,0,,965328,965322,0,,22622787,22622784,0,4343564928,4343570880,1758334,0,0,0,
847569,847569,0,,3004341,3004352,0,,712288,712288,0,,2348994,2348992,0,,14736121,14736121,0,,965287,965287,0,,22614600,22614609,0,4342005504,4342001472,1766176,0,0,0,
847612,847612,0,,3004482,3004450,0,,712361,712361,0,,2349290,2349300,0,,14742372,14742372,0,,965349,965349,0,,22621466,22621444,0,4343315328,4343318592,1758447,0,0,0,
847661,847661,0,,3004440,3004440,0,,712376,712376,0,,2349239,2349229,0,,14739284,14739252,0,,965405,965405,0,,22618405,22618363,0,4342728000,4342732416,1762459,0,0,0,
847639,847639,0,,3004535,3004536,0,,712382,712382,0,,2349354,2349354,0,,14734348,14734348,0,,965404,965404,0,,22613662,22613663,0,4341819264,4341815616,1767514,0,0,0,
