Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Lcore 3,,,,Lcore 4,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
374779,374779,0,,374780,374773,0,,374708,374695,0,,374689,374691,0,,374691,374694,0,,1873647,1873632,0,359736384,359736576,0,0,0,0,
374787,374787,0,,374781,374787,0,,374674,374690,0,,374714,374690,0,,374714,374691,0,,1873670,1873645,0,359753472,359739840,0,0,0,0,
374795,374795,0,,374819,374796,0,,374730,374707,0,,374707,374707,0,,374707,374707,0,,1873758,1873712,0,359752704,359752704,0,0,0,0,
374781,374781,0,,374757,374781,0,,374667,374690,0,,374668,374690,0,,374666,374690,0,,1873539,1873632,0,359728320,359737344,0,0,0,0,
374796,374796,0,,374819,374795,0,,374730,374707,0,,374705,374707,0,,374708,374707,0,,1873758,1873712,0,359752704,359752704,0,0,0,0,
374780,374780,0,,374757,374781,0,,374691,374691,0,,374709,374690,0,,374713,374690,0,,1873650,1873632,0,359746368,359737344,0,0,0,0,
374780,374780,0,,374796,374780,0,,374666,374690,0,,374696,374691,0,,374691,374691,0,,1873629,1873632,0,359737344,359737344,0,0,0,0,
374796,374796,0,,374780,374796,0,,374724,374707,0,,374707,374707,0,,374683,374706,0,,1873690,1873712,0,359748096,359752704,0,0,0,0,
374781,374781,0,,374782,374780,0,,374697,374690,0,,374666,374690,0,,374690,374691,0,,1873616,1873632,0,359733120,359737344,0,0,0,0,
374795,374795,0,,374795,374796,0,,374707,374707,0,,374731,374707,0,,374731,374707,0,,1873759,1873712,0,359761536,359752704,0,0,0,0,
131783,131783,0,,131806,131783,0,,131750,131750,0,,131750,131750,0,,131750,131750,0,,658839,658816,0,126492672,126492672,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
407972,407972,0,,352341,352373,0,,409113,409143,0,,389689,389720,0,,401252,401284,0,,1960367,1960492,0,376390464,376416192,561109,0,0,0,
445815,445815,0,,384926,384925,0,,447220,447222,0,,425598,425599,0,,437972,437969,0,,2141531,2141530,0,411173952,411176640,657966,0,0,0,
