Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Lcore 3,,,,Lcore 4,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
8574390,8574390,0,,8781694,8781722,0,,9063383,9063371,0,,7692783,7692765,0,,8637020,8637018,0,,42749270,42749266,0,10943813120,10943801088,0,0,0,0,
8571651,8571651,0,,8779058,8779030,0,,9060449,9060470,0,,7690217,7690203,0,,8634297,8634281,0,,42735672,42735635,0,10940332800,10940326656,0,0,0,0,
8574853,8574853,0,,8782258,8782290,0,,9063605,9063585,0,,7692995,7692998,0,,8637330,8637332,0,,42751041,42751058,0,10944259584,10944263680,0,0,0,0,
8572592,8572592,0,,8779916,8779914,0,,9061594,9061595,0,,7691197,7691194,0,,8635294,8635278,0,,42740593,42740573,0,10941596416,10941599232,0,0,0,0,
8550095,8550095,0,,8756955,8756957,0,,9036439,9036440,0,,7670995,7671021,0,,8613094,8613112,0,,42627578,42627625,0,10912670464,10912667904,0,0,0,0,
8549823,8549823,0,,8754415,8754399,0,,9035880,9035888,0,,7669681,7669681,0,,8613421,8613403,0,,42623220,42623194,0,10911540224,10911541504,0,0,0,0,
8557151,8557151,0,,8763768,8763768,0,,9044465,9044443,0,,7676986,7676960,0,,8618879,8618911,0,,42661249,42661233,0,10921273088,10921293056,0,0,0,0,
8559685,8559685,0,,8765584,8765600,0,,9046657,9046657,0,,7678313,7678328,0,,8619472,8619460,0,,42669711,42669730,0,10923449344,10923428864,0,0,0,0,
8553337,8553337,0,,8760415,8760396,0,,9041914,9041926,0,,7674505,7674520,0,,8615920,8615929,0,,42646091,42646108,0,10917399552,10917395968,0,0,0,0,
8552497,8552497,0,,8760318,8760337,0,,9039404,9039392,0,,7671139,7671109,0,,8614052,8614046,0,,42637410,42637381,0,10915175168,10915195392,0,0,0,0,
8561005,8561005,0,,8768422,8768422,0,,9050670,9050670,0,,7680918,7680942,0,,8624486,8624482,0,,42685501,42685521,0,10927493376,10927473152,0,0,0,0,
8560187,8560187,0,,8767662,8767658,0,,9050120,9050152,0,,7680378,7680354,0,,8623403,8623416,0,,42681750,42681767,0,10926529024,10926542336,0,0,0,0,
8559662,8559662,0,,8768227,8768231,0,,9048070,9048059,0,,7681410,7681410,0,,8622809,8622809,0,,42680178,42680171,0,10926134016,10926127616,0,0,0,0,
7057925,7057925,0,,7224983,7224951,0,,7456987,7456966,0,,6330691,6330691,0,,7108159,7108127,0,,35178745,35178660,0,9005730048,9005711616,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
9512,9512,0,,8255,8255,0,,9826,9835,0,,7733,7745,0,,9227,9235,0,,44553,44582,0,11412992,11418368,0,0,0,0,
8422817,8422817,0,,8626983,8627015,0,,8900958,8900949,0,,7556245,7556233,0,,8483444,8483457,0,,41990447,41990471,0,10749567232,10749576448,0,0,0,0,
8574277,8574277,0,,8781883,8781851,0,,9062971,9063003,0,,7692581,7692591,0,,8636799,8636778,0,,42748511,42748500,0,10943609344,10943628288,0,0,0,0,
8570503,8570503,0,,8777532,8777532,0,,9059959,9059927,0,,7689112,7689111,0,,8633218,8633239,0,,42730324,42730312,0,10938959872,10938951168,0,0,0,0,
8572460,8572460,0,,8779623,8779655,0,,9061192,9061211,0,,7691027,7691032,0,,8635123,8635116,0,,42739425,42739474,0,10941305344,10941305600,0,0,0,0,
8572811,8572811,0,,8780197,8780197,0,,9061734,9061715,0,,7691341,7691350,0,,8635454,8635440,0,,42741537,42741513,0,10941833984,10941828096,0,0,0,0,
8574022,8574022,0,,8781636,8781636,0,,9062882,9062904,0,,7692315,7692292,0,,8636501,8636529,0,,42747356,42747383,0,10943317248,10943319040,0,0,0,0,
