Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Lcore 3,,,,Lcore 4,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
1999879,1999879,0,,1999861,1999878,0,,1999865,1999861,0,,1999865,1999863,0,,1999865,1999860,0,,9999335,9999341,0,1339911828,1919870016,0,0,0,0,
1999862,1999862,0,,1999877,1999867,0,,1999848,1999853,0,,1999851,1999851,0,,1999847,1999854,0,,9999285,9999287,0,1339904458,1919870784,0,0,0,0,
1999864,1999864,0,,1999865,1999870,0,,1999839,1999859,0,,1999844,1999861,0,,1999853,1999858,0,,9999265,9999312,0,1339898830,1919860224,0,0,0,0,
1999864,1999864,0,,1999866,1999853,0,,1999865,1999840,0,,1999857,1999840,0,,1999852,1999840,0,,9999304,9999237,0,1339906736,1919853504,0,0,0,0,
1999865,1999865,0,,1999859,1999877,0,,1999853,1999872,0,,1999850,1999859,0,,1999850,1999872,0,,9999277,9999345,0,1339904324,1919876736,0,0,0,0,
1999872,1999872,0,,1999878,1999860,0,,1999859,1999840,0,,1999862,1999853,0,,1999862,1999840,0,,9999333,9999265,0,1339909416,1919856384,0,0,0,0,
1999871,1999871,0,,1999869,1999884,0,,1999860,1999872,0,,1999860,1999872,0,,1999859,1999872,0,,9999319,9999371,0,1339908746,1919879232,0,0,0,0,
1999866,1999866,0,,1999868,1999853,0,,1999852,1999840,0,,1999852,1999840,0,,1999853,1999840,0,,9999291,9999239,0,1339904994,1919853888,0,0,0,0,
1999860,1999860,0,,1999853,1999865,0,,1999841,1999853,0,,1999840,1999852,0,,1999843,1999859,0,,9999237,9999289,0,1339902582,1919863488,0,0,0,0,
1999877,1999877,0,,1999875,1999872,0,,1999871,1999859,0,,1999872,1999860,0,,1999869,1999853,0,,9999364,9999321,0,1339911158,1919869632,0,0,0,0,
1999854,1999854,0,,1999862,1999853,0,,1999841,1999846,0,,1999842,1999850,0,,1999841,1999841,0,,9999240,9999244,0,1339897624,1919862336,0,0,0,0,
1999877,1999877,0,,1999853,1999874,0,,1999854,1999860,0,,1999864,1999856,0,,1999865,1999865,0,,9999313,9999332,0,1339911560,1919865024,0,0,0,0,
1999861,1999861,0,,1999885,1999874,0,,1999858,1999861,0,,1999847,1999853,0,,1999847,1999854,0,,9999298,9999303,0,1339903386,1919865408,0,0,0,0,
1999871,1999871,0,,1999859,1999867,0,,1999865,1999851,0,,1999846,1999859,0,,1999861,1999858,0,,9999302,9999306,0,1339910220,1919866752,0,0,0,0,
1999858,1999858,0,,1999871,1999853,0,,1999840,1999841,0,,1999859,1999841,0,,1999844,1999841,0,,9999272,9999234,0,1339897624,1919856000,0,0,0,0,
1999884,1999884,0,,1999884,1999884,0,,1999872,1999871,0,,1999851,1999871,0,,1999872,1999871,0,,9999363,9999381,0,1339916786,1919878080,0,0,0,0,
1999862,1999862,0,,1999863,1999879,0,,1999843,1999856,0,,1999868,1999865,0,,1999852,1999865,0,,9999288,9999327,0,1339903520,1919872704,0,0,0,0,
1999864,1999864,0,,1999859,1999858,0,,1999854,1999856,0,,1999854,1999847,0,,1999845,1999847,0,,9999276,9999272,0,1339901242,1919858304,0,0,0,0,
1999864,1999864,0,,1999868,1999853,0,,1999855,1999840,0,,1999851,1999840,0,,1999855,1999840,0,,9999293,9999237,0,1339905262,1919853504,0,0,0,0,
1999858,1999858,0,,1999858,1999872,0,,1999841,1999851,0,,1999845,1999861,0,,1999841,1999851,0,,9999243,9999293,0,1339898562,1919864256,0,0,0,0,
1999871,1999871,0,,1999865,1999865,0,,1999853,1999859,0,,1999864,1999851,0,,1999853,1999861,0,,9999306,9999307,0,1339911828,1919867328,0,0,0,0,
1999861,1999861,0,,1999867,1999853,0,,1999858,1999842,0,,1999843,1999840,0,,1999858,1999840,0,,9999287,9999236,0,1339899768,1919854080,0,0,0,0,
1999859,1999859,0,,1999854,1999863,0,,1999846,1999866,0,,1999841,1999855,0,,1999846,1999865,0,,9999246,9999308,0,1339900036,1919869056,0,0,0,0,
1999878,1999878,0,,1999883,1999874,0,,1999866,1999846,0,,1999871,1999857,0,,1999866,1999847,0,,9999364,9999302,0,1339913570,1919862912,0,0,0,0,
1999879,1999879,0,,1999879,1999879,0,,1999858,1999866,0,,1999865,1999865,0,,1999865,1999865,0,,9999346,9999354,0,1339913436,1919875968,0,0,0,0,
1999871,1999871,0,,1999870,1999884,0,,1999860,1999872,0,,1999855,1999872,0,,1999850,1999868,0,,9999306,9999367,0,1339905932,1919878464,0,0,0,0,
1999866,1999866,0,,1999867,1999853,0,,1999860,1999840,0,,1999857,1999840,0,,1999862,1999844,0,,9999312,9999243,0,1339907808,1919856192,0,0,0,0,
1999865,1999865,0,,1999854,1999869,0,,1999852,1999865,0,,1999856,1999856,0,,1999856,1999866,0,,9999283,9999321,0,1339905932,1919871744,0,0,0,0,
1999872,1999872,0,,1999883,1999868,0,,1999860,1999847,0,,1999856,1999856,0,,1999856,1999846,0,,9999327,9999289,0,1339908210,1919860608,0,0,0,0,
1999853,1999853,0,,1999853,1999856,0,,1999840,1999840,0,,1999840,1999840,0,,1999840,1999840,0,,9999226,9999229,0,1339896284,1919863104,0,0,0,0,
1999863,1999863,0,,1999857,1999868,0,,1999841,1999860,0,,1999854,1999866,0,,1999851,1999866,0,,9999266,9999323,0,1339903118,1919858112,0,0,0,0,
1999872,1999872,0,,1999880,1999866,0,,1999871,1999852,0,,1999858,1999846,0,,1999861,1999846,0,,9999342,9999282,0,1339909952,1919862144,0,0,0,0,
1999511,1999511,0,,1999853,1999874,0,,1999842,1999861,0,,1999841,1999866,0,,1999846,1999866,0,,9998893,9998978,0,1339851662,1919803776,350,0,0,0,
1999873,1999873,0,,1999878,1999857,0,,1999863,1999844,0,,1999865,1999840,0,,1999860,1999840,0,,9999339,9999254,0,1339911426,1919856768,0,0,0,0,
1999864,1999864,0,,1999869,1999869,0,,1999857,1999857,0,,1999847,1999872,0,,1999847,1999859,0,,9999284,9999321,0,1339905664,1919875392,0,0,0,0,
1999873,1999873,0,,1999868,1999868,0,,1999855,1999855,0,,1999865,1999840,0,,1999865,1999853,0,,9999326,9999289,0,1339908076,1919857728,0,0,0,0,
1999868,1999868,0,,1999869,1999884,0,,1999851,1999868,0,,1999854,1999872,0,,1999853,1999872,0,,9999295,9999364,0,1339905530,1919877888,0,0,0,0,
1999869,1999869,0,,1999868,1999853,0,,1999861,1999844,0,,1999858,1999840,0,,1999859,1999840,0,,9999315,9999246,0,1339908210,1919855232,0,0,0,0,
1999862,1999862,0,,1999857,1999875,0,,1999844,1999855,0,,1999842,1999858,0,,1999845,1999861,0,,9999250,9999311,0,1339900974,1919869824,0,0,0,0,
1999875,1999875,0,,1999880,1999862,0,,1999868,1999857,0,,1999870,1999854,0,,1999867,1999851,0,,9999360,9999299,0,1339912766,1919863296,0,0,0,0,
1999864,1999864,0,,1999863,1999879,0,,1999850,1999866,0,,1999850,1999866,0,,1999845,1999859,0,,9999272,9999334,0,1339904324,1919872128,0,0,0,0,
1999867,1999867,0,,1999869,1999853,0,,1999856,1999840,0,,1999856,1999840,0,,1999860,1999846,0,,9999308,9999246,0,1339905396,1919855232,0,0,0,0,
1999877,1999877,0,,1999864,1999884,0,,1999866,1999872,0,,1999859,1999872,0,,1999872,1999872,0,,9999338,9999377,0,1339916518,1919880384,0,0,0,0,
1999860,1999860,0,,1999873,1999853,0,,1999846,1999840,0,,1999853,1999840,0,,1999840,1999840,0,,9999272,9999233,0,1339897222,1919852736,0,0,0,0,
1651428,1651428,0,,1651428,1651428,0,,1651417,1651417,0,,1651417,1651417,0,,1651418,1651418,0,,8257108,8257108,0,1106452472,1585364736,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
2321185,2321185,0,,2428197,2428197,0,,2507697,2507728,0,,2352261,2352291,0,,2485470,2485501,0,,12094810,12094902,0,1620708694,2322226752,440579,0,0,0,
2787736,2787736,0,,2917723,2917753,0,,3012642,3012643,0,,2826975,2826975,0,,2986980,2986980,0,,14532056,14532087,0,1947291350,2790155136,530895,0,0,0,
2790649,2790649,0,,2918307,2918306,0,,3012558,3012558,0,,2827029,2827031,0,,2987176,2987177,0,,14535719,14535721,0,1947794520,2790858432,527132,0,0,0,
2788056,2788056,0,,2918508,2918510,0,,3012631,3012620,0,,2827565,2827562,0,,2986885,2986885,0,,14533645,14533633,0,1947506956,2790457536,529516,0,0,0,
2790304,2790304,0,,2917984,2917985,0,,3012586,3012577,0,,2827524,2827495,0,,2986938,2986938,0,,14535336,14535299,0,1947729932,2790785472,527581,0,0,0,
2794054,2794054,0,,2916004,2916004,0,,3012568,3012575,0,,2826852,2826881,0,,2988224,2988221,0,,14537702,14537735,0,1948050460,2791237056,525144,0,0,0,
2791320,2791320,0,,2917048,2917045,0,,3012469,3012482,0,,2827875,2827878,0,,2986801,2986804,0,,14535513,14535529,0,1947763030,2790827712,527255,0,0,0,
2785391,2785391,0,,2917533,2917534,0,,3012606,3012606,0,,2827688,2827686,0,,2987288,2987288,0,,14530506,14530505,0,1947087804,2789856768,532518,0,0,0,
2789975,2789975,0,,2925255,2925256,0,,3012614,3012614,0,,2828735,2828737,0,,2987186,2987185,0,,14543765,14543767,0,1948860222,2792397312,519310,0,0,0,
