Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Lcore 3,,,,Lcore 4,,,,Lcore 5,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
9380408,9380408,0,,9380419,9380422,0,,9377737,9377720,0,,9375006,9375038,0,,9377721,9377750,0,,9377724,9377739,0,,56269015,56269077,0,7765128624,10803646272,0,0,0,0,
9389397,9389397,0,,9389375,9389375,0,,9386678,9386708,0,,9384016,9384005,0,,9386704,9386675,0,,9386697,9386697,0,,56322867,56322857,0,7772558268,10814001792,0,0,0,0,
9388203,9388203,0,,9388224,9388195,0,,9385499,9385499,0,,9382802,9382811,0,,9385493,9385493,0,,9385505,9385507,0,,56315726,56315708,0,7771567704,10812623040,0,0,0,0,
9389358,9389358,0,,9389353,9389383,0,,9386684,9386686,0,,9384004,9383974,0,,9386669,9386698,0,,9386687,9386684,0,,56322755,56322783,0,7772540052,10813967808,0,0,0,0,
9393102,9393102,0,,9393088,9393090,0,,9390377,9390377,0,,9387694,9387723,0,,9390420,9390423,0,,9390402,9390404,0,,56345083,56345119,0,7775626008,10818251136,0,0,0,0,
9382248,9382248,0,,9382265,9382262,0,,9379597,9379565,0,,9376869,9376840,0,,9379525,9379525,0,,9379542,9379539,0,,56280046,56279979,0,7766641518,10805768448,0,0,0,0,
9389047,9389047,0,,9389049,9389052,0,,9386350,9386380,0,,9383669,9383698,0,,9386400,9386368,0,,9386358,9386362,0,,56320873,56320907,0,7772285166,10813610880,0,0,0,0,
9386933,9386933,0,,9386923,9386922,0,,9384221,9384218,0,,9381545,9381534,0,,9384199,9384227,0,,9384229,9384226,0,,56308050,56308060,0,7770512280,10811141376,0,0,0,0,
9389855,9389855,0,,9389857,9389858,0,,9387166,9387139,0,,9384467,9384478,0,,9387209,9387181,0,,9387183,9387184,0,,56325737,56325695,0,7772950326,10814541888,0,0,0,0,
9390091,9390091,0,,9390106,9390097,0,,9387403,9387425,0,,9384696,9384692,0,,9387358,9387379,0,,9387405,9387375,0,,56327059,56327059,0,7773140352,10814801856,0,0,0,0,
